OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,Region,PromoCode,ReturnFlag
70,106,2023-08-12,ProdA,Electronics,6,302.84,,,0
71,106,06/05/2023,Item C,Home,4,203.3,,,1
72,106,1676984400.0,Product C,Home,2,465.69,North,WINTER22,0
73,102,1691244000.0,Product C,Electronics,7,431.69,,SUMMER23,1
74,104,1689516000.0,ProdA,Electronics,7,13.06,Coast,SUMMER23,0
75,106,1693749600.0,Prod B,Home,4,3.45,East,SUMMER23,1
76,105,1689948000.0,Product A,,7,182.0,East,SPRING23,0
77,102,2023-05-03,ProdA,,2,403.38,North,,0
78,102,12/09/2023,Product A,Home,0,493.51,,,1
79,104,2023-10-07,Product A,Home,4,66.71,,,1
80,102,08/04/2023,Prod B,Home,8,293.01,,SPRING23,1
81,102,1693144800.0,Product A,Home,8,184.25,West,,1
82,106,2023-04-07,Product A,Home,-1,484.66,South,SPRING23,0
83,104,05-04-23,Prod B,Home,9,419.48,West,SUMMER23,1
84,106,1700571600.0,Product A,Home,6,417.55,South,WINTER22,0
85,106,12-15-23,Product A,Home,7,229.03,,,0
86,104,1685196000.0,Product A,,7,201.56,,,1
87,101,12-12-23,ProdA,Electronics,9,129.44,West,SUMMER23,0
88,106,1685109600.0,ProdA,Home,-2,18.75,West,WINTER22,0
89,105,12-18-23,ProdA,Home,3,431.01,South,SPRING23,0
90,105,2023-11-04,Prod B,Home,4,404.58,East,WINTER22,0
91,102,05-08-23,Product C,Home,5,499.86,South,SUMMER23,1
92,105,1701608400.0,Product A,Home,7,498.28,West,SUMMER23,1
93,102,05-09-23,Product A,Electronics,6,273.27,Coast,WINTER22,1
94,101,05-31-23,Prod B,Electronics,-1,382.18,West,SPRING23,1
95,104,10-25-23,Product A,Electronics,8,471.83,Coast,SPRING23,0
96,104,1695132000.0,ProdA,Eletronics,7,423.32,North,,0
97,104,24/05/2023,Product C,Electronics,-1,116.15,West,SPRING23,1
98,105,2023-04-22,Item C,Home,2,219.78,North,WINTER22,1
99,101,2023-03-01,Product A,Eletronics,2,55.87,East,SUMMER23,1
100,105,2023-01-02,ProdA,Home,3,476.57,South,,0
